Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-271-A,MATH,271,A,200,4.00,4.00,0,,30,,32,NH 259,MTWF,8:30AM - 9:20AM,8/29/2022,12/17/2022,NH,259,8:30AM,08:30:00,9:20AM,09:20:00,M,T,W,,F,Multivariable Calculus,Michael Bolt,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-271-B,MATH,271,B,200,4.00,4.00,0,,30,,32,NH 259,MTWF,11:00AM - 11:50AM,8/29/2022,12/17/2022,NH,259,11:00AM,11:00:00,11:50AM,11:50:00,M,T,W,,F,Multivariable Calculus,Todd Kapitula,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-271-C,MATH,271,C,200,4.00,4.00,0,,30,,32,NH 259,MTWF,2:00PM - 2:50PM,8/29/2022,12/17/2022,NH,259,2:00PM,14:00:00,2:50PM,14:50:00,M,T,W,,F,Multivariable Calculus,James Turner,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-312-A,MATH,312,A,300,4.00,4.00,0,,25,,32,NH 259,MTWF,3:00PM - 3:50PM,8/29/2022,12/17/2022,NH,259,3:00PM,15:00:00,3:50PM,15:50:00,M,T,W,,F,Logic and Complexity,James Turner,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-323-A,MATH,323,A,300,2.00,3.00,0,,20,20,32,NH 251,MW,8:30AM - 10:20AM,8/29/2022,12/17/2022,NH,251,8:30AM,08:30:00,10:20AM,10:20:00,M,,W,,,Teaching Math Elem/Middle Sch,Jane E Genzink,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-323-A,MATH,323,A,300,2.00,3.00,0,,20,20,32,NH 251,MW,8:30AM - 10:20AM,1/9/2023,4/29/2023,NH,251,8:30AM,08:30:00,10:20AM,10:20:00,M,,W,,,Teaching Math Elem/Middle Sch,Mathematics Staff ,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-333-A,MATH,333,A,300,4.00,4.00,0,,30,,20,NH 261,MTWF,12:00PM - 12:50PM,8/29/2022,12/17/2022,NH,261,12:00PM,12:00:00,12:50PM,12:50:00,M,T,W,,F,Partial Differential Equations,Todd Kapitula,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-351-A,MATH,351,A,300,4.00,4.00,0,,35,,20,NH 261,MWTHF,1:00PM - 1:50PM,1/9/2023,4/29/2023,NH,261,1:00PM,13:00:00,1:50PM,13:50:00,M,,W,TH,F,Abstract Algebra,John Ferdinands,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-355-A,MATH,355,A,300,4.00,4.00,0,,25,,20,NH 261,MTWF,12:00PM - 12:50PM,1/9/2023,4/29/2023,NH,261,12:00PM,12:00:00,12:50PM,12:50:00,M,T,W,,F,Adv Linear Algebra,Christopher Moseley,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-359-A,MATH,359,A,300,3.00,3.00,0,,30,,32,NH 251,TH,6:00PM - 8:30PM,8/29/2022,12/17/2022,NH,251,6:00PM,18:00:00,8:30PM,20:30:00,,,,TH,,Sem: Sec Teaching of Math,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-361-A,MATH,361,A,300,4.00,4.00,0,,25,,20,NH 261,MTWF,1:00PM - 1:50PM,8/29/2022,12/17/2022,NH,261,1:00PM,13:00:00,1:50PM,13:50:00,M,T,W,,F,Real Analysis I,John Ferdinands,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-365-A,MATH,365,A,300,4.00,4.00,0,,20,,32,NH 259,MTWF,8:30AM - 9:20AM,1/9/2023,4/29/2023,NH,259,8:30AM,08:30:00,9:20AM,09:20:00,M,T,W,,F,Complex Variables,Michael Bolt,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-380-A,MATH,380,A,300,3.00,3.00,0,,25,,20,NH 261,MWF,2:00PM - 2:50PM,1/9/2023,4/29/2023,NH,261,2:00PM,14:00:00,2:50PM,14:50:00,M,,W,,F,Perspectives Modrn Mathematics,Nathan S Sunukjian,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-385-A,MATH,385,A,300,3.00,3.00,0,,25,25,20,NH 261,MWF,9:30AM - 10:20AM,1/9/2023,4/29/2023,NH,261,9:30AM,09:30:00,10:20AM,10:20:00,M,,W,,F,Topics in Mathematics,Todd Kapitula,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-391-A,MATH,391,A,300,0.00,1.00,0,,47,,44,NH 276,TH,3:00PM - 3:50PM,8/29/2022,12/17/2022,NH,276,3:00PM,15:00:00,3:50PM,15:50:00,,,,TH,,Colloquium,"Christopher Moseley
Nathan S Sunukjian",Active,SEM
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-391-A,MATH,391,A,300,0.00,1.00,0,,47,,44,NH 276,TH,3:00PM - 3:50PM,1/9/2023,4/29/2023,NH,276,3:00PM,15:00:00,3:50PM,15:50:00,,,,TH,,Colloquium,"Nathan S Sunukjian
Christopher Moseley",Active,SEM
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-143-A,STAT,143,A,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,8:30AM - 9:20AM,1/9/2023,4/29/2023,NH,295,8:30AM,08:30:00,9:20AM,09:20:00,M,T,,TH,F,Probability and Statistics,Pam Plantinga,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,STAT-143-A,STAT,143,A,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,8:30AM - 9:20AM,8/29/2022,12/17/2022,NH,295,8:30AM,08:30:00,9:20AM,09:20:00,M,T,,TH,F,Probability and Statistics,Pam Plantinga,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-143-B,STAT,143,B,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,9:30AM - 10:20AM,1/9/2023,4/29/2023,NH,295,9:30AM,09:30:00,10:20AM,10:20:00,M,T,,TH,F,Probability and Statistics,Pam Plantinga,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,STAT-143-B,STAT,143,B,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,9:30AM - 10:20AM,8/29/2022,12/17/2022,NH,295,9:30AM,09:30:00,10:20AM,10:20:00,M,T,,TH,F,Probability and Statistics,Pam Plantinga,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-143-C,STAT,143,C,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,11:00AM - 11:50AM,1/9/2023,4/29/2023,NH,295,11:00AM,11:00:00,11:50AM,11:50:00,M,T,,TH,F,Probability and Statistics,Nathan S Sunukjian,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,STAT-143-C,STAT,143,C,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,11:00AM - 11:50AM,8/29/2022,12/17/2022,NH,295,11:00AM,11:00:00,11:50AM,11:50:00,M,T,,TH,F,Probability and Statistics,Mathematics Staff ,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-143-D,STAT,143,D,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,12:00PM - 12:50PM,1/9/2023,4/29/2023,NH,295,12:00PM,12:00:00,12:50PM,12:50:00,M,T,,TH,F,Probability and Statistics,Nathan S Sunukjian,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,STAT-143-E,STAT,143,E,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,3:00PM - 3:50PM,8/29/2022,12/17/2022,NH,295,3:00PM,15:00:00,3:50PM,15:50:00,M,T,,TH,F,Probability and Statistics,Mathematics Staff ,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-143-E,STAT,143,E,100,4.00,4.00,0,,24,36,45,NH 295,MTTHF,2:00PM - 2:50PM,1/9/2023,4/29/2023,NH,295,2:00PM,14:00:00,2:50PM,14:50:00,M,T,,TH,F,Probability and Statistics,Mathematics Staff ,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,STAT-145-A,STAT,145,A,100,4.00,4.00,0,,32,,32,NH 259,MTWF,9:30AM - 10:20AM,8/29/2022,12/17/2022,NH,259,9:30AM,09:30:00,10:20AM,10:20:00,M,T,W,,F,Biostatistics,Thomas L. Scofield,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-145-A,STAT,145,A,100,4.00,4.00,0,,32,,44,NH 276,MWTHF,1:00PM - 1:50PM,1/9/2023,4/29/2023,NH,276,1:00PM,13:00:00,1:50PM,13:50:00,M,,W,TH,F,Biostatistics,Stacy De Ruiter,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-241-A,STAT,241,A,200,2.00,2.00,0,,32,,32,NH 259,TTH,12:00PM - 12:50PM,1/9/2023,4/29/2023,NH,259,12:00PM,12:00:00,12:50PM,12:50:00,,T,,TH,,Engineering Statistics,Todd Kapitula,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-241-B,STAT,241,B,200,2.00,2.00,0,,32,,32,NH 259,TTH,1:00PM - 1:50PM,1/9/2023,4/29/2023,NH,259,1:00PM,13:00:00,1:50PM,13:50:00,,T,,TH,,Engineering Statistics,Todd Kapitula,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-243-A,STAT,243,A,200,4.00,4.00,0,,35,,32,NH 259,MTTHF,11:00AM - 11:50AM,1/9/2023,4/29/2023,NH,259,11:00AM,11:00:00,11:50AM,11:50:00,M,T,,TH,F,Statistics,Thomas L. Scofield,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-243-B,STAT,243,B,200,4.00,4.00,0,,35,,20,NH 261,MTTHF,8:30AM - 9:20AM,1/9/2023,4/29/2023,NH,261,8:30AM,08:30:00,9:20AM,09:20:00,M,T,,TH,F,Statistics,Thomas L. Scofield,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,STAT-245-A,STAT,245,A,200,4.00,4.00,0,,32,32,44,NH 276,MTTHF,1:00PM - 1:50PM,8/29/2022,12/17/2022,NH,276,1:00PM,13:00:00,1:50PM,13:50:00,M,T,,TH,F,Applied Data Analysis,Stacy De Ruiter,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,STAT-245-B,STAT,245,B,200,4.00,4.00,0,,32,32,44,NH 276,MTTHF,2:00PM - 2:50PM,8/29/2022,12/17/2022,NH,276,2:00PM,14:00:00,2:50PM,14:50:00,M,T,,TH,F,Applied Data Analysis,Stacy De Ruiter,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,STAT-341-A,STAT,341,A,300,3.00,3.00,0,,25,25,44,NH 276,MWF,2:00PM - 2:50PM,1/9/2023,4/29/2023,NH,276,2:00PM,14:00:00,2:50PM,14:50:00,M,,W,,F,Computational Bayesian Stats,Stacy De Ruiter,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,STAT-343-A,STAT,343,A,300,4.00,4.00,0,,30,,20,NH 261,MTTHF,11:00AM - 11:50AM,8/29/2022,12/17/2022,NH,261,11:00AM,11:00:00,11:50AM,11:50:00,M,T,,TH,F,Probability & Statistics,Thomas L. Scofield,Active,LEC

