Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-252-B,MATH,252,B,100,3.00,3.00,12,,30,30,32,NH 259,MWF,12:30PM - 1:20PM,1/10/2022,4/28/2022,NH,259,12:30PM,12:30:00,1:20PM,13:20:00,M,,W,,F,Discrete Math for Computer Sci,Randall Pruim,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-255-A,MATH,255,A,200,4.00,4.00,21,22,30,30,32,"NH 251
NH 251","MWF
TH","11:30AM - 12:20PM
9:00AM - 9:50AM",8/30/2022,12/15/2022,"NH
NH","251
251","11:30AM
9:00AM","11:30:00
09:00:00","12:20PM
9:50AM","12:20:00
09:50:00","M
","
","W
","
TH","F
",Introductory Linear Algebra,Nathan S Sunukjian,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-270-A,MATH,270,A,200,3.00,0.00,11,10,20,20,44,NH 276,MTWF,11:30AM - 12:20PM,8/30/2022,12/15/2022,NH,276,11:30AM,11:30:00,12:20PM,12:20:00,M,T,W,,F,Intro to Multivariable Calc,James Turner,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-270-B,MATH,270,B,200,3.00,0.00,7,10,20,20,32,NH 259,MTWF,10:30AM - 11:20AM,8/30/2022,12/15/2022,NH,259,10:30AM,10:30:00,11:20AM,11:20:00,M,T,W,,F,Intro to Multivariable Calc,Todd Kapitula,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-270-C,MATH,270,C,200,3.00,0.00,9,10,20,20,20,NH 261,MTWF,1:30PM - 2:20PM,8/30/2022,12/15/2022,NH,261,1:30PM,13:30:00,2:20PM,14:20:00,M,T,W,,F,Intro to Multivariable Calc,James Turner,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-271-A,MATH,271,A,200,4.00,4.00,6,8,20,20,44,NH 276,MTWF,11:30AM - 12:20PM,8/30/2022,12/15/2022,NH,276,11:30AM,11:30:00,12:20PM,12:20:00,M,T,W,,F,Multivariable Calculus,James Turner,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-271-A,MATH,271,A,200,4.00,4.00,34,,30,,44,NH 276,MWTHF,9:00AM - 9:50AM,1/10/2022,4/28/2022,NH,276,9:00AM,09:00:00,9:50AM,09:50:00,M,,W,TH,F,Multivariable Calculus,John Ferdinands,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-271-B,MATH,271,B,200,4.00,4.00,13,13,20,20,32,NH 259,MTWF,10:30AM - 11:20AM,8/30/2022,12/15/2022,NH,259,10:30AM,10:30:00,11:20AM,11:20:00,M,T,W,,F,Multivariable Calculus,Todd Kapitula,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-271-C,MATH,271,C,200,4.00,4.00,11,11,20,20,20,NH 261,MTWF,1:30PM - 2:20PM,8/30/2022,12/15/2022,NH,261,1:30PM,13:30:00,2:20PM,14:20:00,M,T,W,,F,Multivariable Calculus,James Turner,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-301-A,MATH,301,A,300,4.00,4.00,12,,20,,32,NH 259,MTWF,2:30PM - 3:20PM,1/10/2022,4/28/2022,NH,259,2:30PM,14:30:00,3:20PM,15:20:00,M,T,W,,F,Foundations of Geometry,James Turner,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-323-A,MATH,323,A,300,2.00,3.00,21,,21,24,32,NH 251,MW,8:00AM - 9:50AM,1/10/2022,4/28/2022,NH,251,8:00AM,08:00:00,9:50AM,09:50:00,M,,W,,,Teaching Math Elem/Middle Sch,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-323-A,MATH,323,A,300,2.00,3.00,17,17,20,20,32,NH 251,MW,8:00AM - 9:50AM,8/30/2022,12/15/2022,NH,251,8:00AM,08:00:00,9:50AM,09:50:00,M,,W,,,Teaching Math Elem/Middle Sch,Jane E Genzink,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-327-A,MATH,327,A,300,3.00,3.00,22,,,,32,NH 251,TH,7:25PM - 9:55PM,1/10/2022,4/28/2022,NH,251,7:25PM,19:25:00,9:55PM,21:55:00,,,,TH,,Middle Grades Math Methods,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-331-A,MATH,331,A,300,4.00,4.00,12,12,30,,20,NH 261,MTWF,11:30AM - 12:20PM,8/30/2022,12/15/2022,NH,261,11:30AM,11:30:00,12:20PM,12:20:00,M,T,W,,F,Nonlinear Dynamics & Chaos,Todd Kapitula,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-351-A,MATH,351,A,300,4.00,4.00,11,,35,,20,NH 261,MWTHF,12:30PM - 1:20PM,1/10/2022,4/28/2022,NH,261,12:30PM,12:30:00,1:20PM,13:20:00,M,,W,TH,F,Abstract Algebra,Nathan S Sunukjian,Active,LEC
